year,calendar_year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,scenario,code,max_inflation,cumulative_mvi_real,consumption_score,min_p10,max_coverage_gap
50,2077,0.80173479641,6.48099859857,6.48099859857,6.65067501381,16.215309252,2.50197697244,0.0201187310913,0.195167297723,0.535536338032,0.24004336991,16.7404483395,0,0,0,0,0.370401464583,0,0,0.190278127991,1.23319228085,0.0355378343038,0.0355378343038,0,0.0555335393873,0.67547245212,1.4804452748,0,0,0.487398161838,0.370401464583,0.405939298886,0.215661170896,0.444891132662,0.753777717856,0.679899634683,0.236212051161,2.18294542432,1.59543938576,0.928054853979,2.0744089268,0.00214069725563,0,1,26.7512370779,1.02618059743,0,-1.09548132064e-16,-2.7387033016e-17,1.33226762955e-15,0,B2: universal transfer + residual tax,ok,medium,B2,0.0216735344638,25.3491175169,-3.47266406928,0.252166547649,0.00401437012797
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56405484648,16.0062183877,2.46971483549,0.0202589559027,0.195167297723,0.535536338032,0.231215613168,16.1974001761,0.296692477446,0.296692477446,0.171411001583,0,0.285329182097,0.171411001583,1.05784265739,0.105694037906,0.685002911549,0.0359963861447,0.0359963861447,0,0.0553173129071,0.686721886952,1.4561935756,0,0,0.37114331012,0.285329182097,0.321325568242,0.215631530336,0.419788065213,0.583237114048,0.533433223246,0.177655537015,2.3917945521,1.60637220586,0.982151649917,2.25342306865,0.00291527932206,0,0.703307522554,23.6150236181,1.0128153473,0,5.54895852466e-17,1.6646875574e-16,6.66133814775e-16,0,B5: usownership + residual tax,ok,medium,B5,0.0212451432752,19.7217644746,-3.21083687553,0.252166547649,0.00401437012797
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56406064482,16.0123742163,2.47066466267,0.0202719952786,0.195167297723,0.535536338032,0.231215613168,16.1974326399,0.296692477446,0.296692477446,0.171411001583,0,0.271269050237,0.171411001583,1.0585189685,0.101641134962,0.658736053246,0.0460008592262,0.0328913461678,0.0131095130584,0.0552989918265,0.627682409827,1.59316237693,0.0400514702954,0.0220405346674,0.352854525773,0.271269050237,0.317269909463,0.215628774501,0.424776937224,0.584163131483,0.5345054497,0.178091319844,2.41526495339,1.60689575548,0.984621262426,2.2625632195,0.00302078031452,0,0.703307522554,23.6154166158,1.01281624197,0,-1.45604163394e-16,-5.54682527215e-17,9.99200722163e-16,0,B6: SSM hybrid,ok,medium,B6,0.0212580624138,19.2503996354,-3.15252277718,0.253341600221,0.00421541104092
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56405484648,15.9730775045,2.46460128969,0.0200391967471,0.195167297723,0.535536338032,0.231215613168,16.1974001761,0.296692477446,0.296692477446,0.171411001583,0,0.23913556509,0.171411001583,1.11091446104,0.0596483896444,0.386581129692,0.0361908109513,0.0361908109513,0,0.0554747596253,0.688574186666,1.45227634054,0,0,0.311056739946,0.23913556509,0.275326376041,0.215677986397,0.436373851106,0.560002945185,0.527116595923,0.17662731365,2.2928130073,1.61250287433,0.959051975536,2.17362064062,0.00230557278064,0,0.703307522554,23.6150236181,1.0128153473,0,1.11209429673e-16,1.11209429673e-16,8.881784197e-16,0,B7: equal citizen-equity comparator,ok,medium,B7,0.021245148428,16.8628078872,-3.30837797967,0.252166547649,0.00401437012797
50,2077,0.80173479641,6.48099859857,6.48099859857,6.6506698423,16.1898032229,2.49804146331,0.0201210231587,0.195167297723,0.535536338032,0.24004336991,16.7404188124,0,0,0,0,0.349795679573,0,0,0.169755265762,1.1001836395,0.0356202725248,0.0356202725248,0,0.0554867964082,0.677579708473,1.47584112614,0,0,0.385320094636,0.349795679573,0.385415952098,0.215660686336,0.427664305803,0.748528048501,0.673194461546,0.233313111825,2.33239877098,1.59811282915,0.958201093337,2.20597049527,0.00271194613329,0,1,26.7508987876,1.02617979948,2.22044604925e-16,-5.486035917e-17,-1.37150897925e-16,1.33226762955e-15,0,B10: capital-tilted tax and universal transfer,ok,medium,B10,0.0217081615815,22.0213274519,-2.72309523701,0.250659204307,0.00453462501023
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56405484648,16.0062183877,2.46971483549,0.0202589559027,0.195167297723,0.535536338032,0.231215613168,16.1974001761,0,0.296692477446,0.171411001583,0.171411001583,0.456740183681,0,1.05784265739,0.105694037906,0.685002911549,0.0359963861447,0.0359963861447,0,0.0553173129071,0.686721886952,1.4561935756,0,0,0.37114331012,0.285329182097,0.321325568242,0.215631530336,0.419788065213,0.744938848582,0.670039849324,0.232125818577,2.3917945521,1.60637220586,0.982151649917,2.25342306865,0.00291527932206,0,1,23.6150236181,1.0128153473,0,5.54895852466e-17,1.6646875574e-16,6.66133814775e-16,0,B11: matched dividend levy,ok,medium,B11,0.0212451432752,19.7217644746,-3.21083687553,0.252166547649,0.00401437012797
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56406064482,16.0123742163,2.47066466267,0.0202719952786,0.195167297723,0.535536338032,0.231215613168,16.1974326399,0,0.296692477446,0.171411001583,0.171411001583,0.442680051821,0,1.0585189685,0.101641134962,0.658736053246,0.0460008592262,0.0328913461678,0.0131095130584,0.0552989918265,0.627682409827,1.59316237693,0.0400514702954,0.0220405346674,0.352854525773,0.271269050237,0.317269909463,0.215628774501,0.424776937224,0.749110383327,0.673727400108,0.233599986096,2.41526495339,1.60689575548,0.984621262426,2.2625632195,0.00302078031452,0,1,23.6154166158,1.01281624197,0,-1.45604163394e-16,-5.54682527215e-17,9.99200722163e-16,0,B12: matched levy and monetary hybrid,ok,medium,B12,0.0212580624138,19.2503996354,-3.15252277718,0.253341600221,0.00421541104092
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56401404907,15.9381260684,2.45920838063,0.020494251508,0.195167297723,0.535536338032,0.231215613168,16.1971717604,0.296692477446,0.296692477446,0.171411001583,0,0.18746087625,0.171411001583,1.05852118576,0.0190916244873,0.123732791546,0.0472125603587,0.0333220978291,0.0138904625296,0.0555337500976,0.633355370759,1.57889242938,0.0401475680206,0.0231494871306,0.243840639146,0.18746087625,0.234673436609,0.215581812122,0.471063037895,0.594891248452,0.545525867699,0.18209932205,2.03241269531,1.61007208102,0.912449664856,1.8910892703,0.000683711622896,0,0.703307522554,23.6124468693,1.01280905238,0,2.02009116855e-16,-5.57266529256e-17,1.11022302463e-15,0,B13: usownership and targeted income protection,ok,medium,B13,0.0207908540245,4.21735542443,-4.86375324165,0.247901073711,0.00270220651174
50,2077,0.886894279428,6.40793127389,6.40793127389,13.4966069367,15.9422029422,2.48788606818,0.0200001867552,0.154290745874,0.486201463818,0.242172356986,16.8955489646,0,0,0,0,0.261991705327,0,0,0.0824966625611,0.528632944017,0.0361911922536,0.0361911922536,0,0.0557012124021,0.68592915473,1.45787650679,0,0,0.345714104971,0.261991705327,0.29818289758,0.215686235019,0.518426202331,0.771115880775,0.702370465074,0.24596198674,1.59186732343,1.57799578215,0.757408171862,1.52122028428,0.0016499486579,0,1,34.5798617653,2.10623465824,0,-3.89986814273e-16,-5.57124020389e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,fast,B0,0.0229623973875,11.5525561969,-4.80199829365,0.252659504656,0.0016499486579
50,2077,0.886894279428,6.40793127389,6.40793127389,13.4966425929,16.111039774,2.51423417096,0.0200001516981,0.154290745874,0.486201463818,0.242172356986,16.8956503974,0,0,0,0,0.381346688437,0,0,0.201110347358,1.28870128434,0.0354499013526,0.0354499013526,0,0.0557009958514,0.671881994005,1.4883565997,0,0,0.503210316953,0.381346688437,0.41679658979,0.215686242432,0.451160395408,0.756920323233,0.683673441009,0.237778686448,2.11335902871,1.57620859729,0.900254580793,2.00175751164,0.00184597414769,0,1,34.5817120537,2.10624022262,0,0,2.75642799025e-17,1.33226762955e-15,0,B2: universal transfer + residual tax,ok,fast,B2,0.0236181455278,29.6820420377,-2.13697824095,0.256140835801,0.00425862911748
50,2077,0.886894279428,6.40793127389,6.40793127389,13.27072754,15.9201049213,2.48443752606,0.0200771210752,0.154290745874,0.486201463818,0.231982048515,16.2051624465,0.466300846222,0.466300846222,0.287786821396,0,0.23175584791,0.287786821396,1.75542889633,0.0520304330172,0.333407438925,0.0359445530489,0.0359445530489,0,0.0556840606677,0.681453386599,1.46745180179,0,0,0.301758373566,0.23175584791,0.267700400959,0.215669967941,0.400365958664,0.490213107245,0.451040536489,0.144580074528,2.54402482952,1.59528895695,0.996232965624,2.39479131471,0.00308389197853,0,0.533699153778,26.6324010942,2.07098468644,0,1.11579468112e-16,1.11579468112e-16,3.33066907388e-16,0,B5: usownership + residual tax,ok,fast,B5,0.0224077517949,16.7599056778,-1.42399679438,0.256140835801,0.00425862911748
50,2077,0.886894279428,6.40793127389,6.40793127389,13.2707313944,15.9302307391,2.48601772681,0.0200699773972,0.154290745874,0.486201463818,0.231982048515,16.2051731379,0.466300846222,0.466300846222,0.287786821396,0,0.216463380345,0.287786821396,1.7581575091,0.0465488005597,0.298281514869,0.0457568985204,0.0330015230048,0.0127553755157,0.0558433124367,0.623967953267,1.60264640958,0.0400493441035,0.0215839256893,0.281846771844,0.216463380345,0.262220278865,0.215671478305,0.405023789377,0.489637386433,0.450895995563,0.144532549087,2.57224402432,1.59599631521,0.998796133302,2.39993972406,0.00320194403818,0,0.533699153778,26.6326161273,2.07098528795,0,1.11508544257e-16,-2.78771360644e-17,8.881784197e-16,0,B6: SSM hybrid,ok,fast,B6,0.0226378088944,16.1730105313,-1.36931483178,0.257355823911,0.00439818300491
50,2077,0.886894279428,6.40793127389,6.40793127389,13.27072754,15.9787526888,2.49358989755,0.0213756075026,0.154290745874,0.486201463818,0.231982048515,16.2051624465,0.466300846222,0.466300846222,0.287786821396,0,0.180180621768,0.287786821396,1.84411817304,0,0,0.0352151624898,0.0352151624898,0,0.0549664733611,0.675881378392,1.4795495659,0,0,0.234604700866,0.180180621768,0.215395784258,0.215395784258,0.393208506151,0.445259465914,0.437888633391,0.141806667229,2.41506902738,1.80642564084,0.994043750383,2.27067537054,0.000198336072079,0,0.533699153778,26.6324010942,2.07098468644,0,1.11169931345e-16,-8.33774485091e-17,6.66133814775e-16,0,B7: equal citizen-equity comparator,ok,fast,B7,0.0224049455449,9.97833416539,-1.69321974385,0.256140835801,0.00425862911748
50,2077,0.886894279428,6.40793127389,6.40793127389,13.4966380956,16.0898298201,2.51092421757,0.0200002509007,0.154290745874,0.486201463818,0.242172356986,16.8956376038,0,0,0,0,0.363804105761,0,0,0.18366186284,1.17689259471,0.0355439785337,0.0355439785337,0,0.0557015834471,0.673658307321,1.48443207652,0,0,0.388046908129,0.363804105761,0.399348084295,0.215686221455,0.436425848058,0.752618145772,0.678129454694,0.235443272334,2.21138092192,1.5784446713,0.926748575817,2.09707601017,0.00232141030404,0,1,34.5814762527,2.1062395208,0,0,-5.52012314381e-17,1.33226762955e-15,0,B10: capital-tilted tax and universal transfer,ok,fast,B10,0.0232040965866,26.7859130426,-1.42265526144,0.254668821468,0.00458991413612
50,2077,0.886894279428,6.40793127389,6.40793127389,13.27072754,15.9201049213,2.48443752606,0.0200771210752,0.154290745874,0.486201463818,0.231982048515,16.2051624465,0,0.466300846222,0.287786821396,0.287786821396,0.519542669306,0,1.75542889633,0.0520304330172,0.333407438925,0.0359445530489,0.0359445530489,0,0.0556840606677,0.681453386599,1.46745180179,0,0,0.301758373566,0.23175584791,0.267700400959,0.215669967941,0.400365958664,0.741259143901,0.666417344641,0.230625084712,2.54402482952,1.59528895695,0.996232965624,2.39479131471,0.00308389197853,0,1,26.6324010942,2.07098468644,0,1.11579468112e-16,1.11579468112e-16,3.33066907388e-16,0,B11: matched dividend levy,ok,fast,B11,0.0224077517949,16.7599056778,-1.42399679438,0.256140835801,0.00425862911748
