scenario,code,horizon,calendar_horizon,completed,last_year,status,max_inflation,peak_mvi,peak_mvi_year,mean_tax_gdp,max_accounting_error,max_equity_error,real_gdp,nominal_gdp,inflation,usownership_share,mvi_gdp,tax_gdp,gini_wealth,gini_income,top10_wealth,top1_wealth,median_income,median_use_dividend,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_gdp,velocity,coverage_shortfall,labour_share,ordinary_discounted_dividends
slow,B4,100,2127,True,100,ok,0.265643571794,0.116497866576,100,0.231421174696,3.82299618155e-16,1.33226762955e-15,7.34625564446,18168167.8393,0.265643571794,0,0.116497866576,0.229625605182,0.793224697117,0.483715180209,0.713913445928,0.249857181413,2.72321925342,0,0.0606968711841,0.0524924967067,0.00820437447742,0.236105803244,4.23538933081,0.00700046975477,0.30003873165,21.0779144807
slow,B5,10,2037,True,10,ok,0.019764604902,0.116386863091,1,0.286541598992,3.50533917048e-16,1.33226762955e-15,1.17518107724,1.28204452157,0.019764604902,0,0.0988110600993,0.291913370837,0.731703655372,0.355144714963,0.650893824328,0.22320924691,0.519668204992,0,0.022633751234,0.022633751234,0,0.718706629794,1.39138830581,0.00382553677851,0.567067687542,1.90056694697
slow,B5,25,2052,True,25,ok,0.0204530083907,0.116386863091,1,0.290119321416,3.50533917048e-16,1.33226762955e-15,1.55952004581,2.29702203184,0.0200219308458,0,0.10585854002,0.293668524223,0.734932095703,0.369856630785,0.654836468817,0.224940482417,0.678422933138,0,0.0278716529734,0.0278716529734,0,0.705137841469,1.41816243746,0.00388268679656,0.523486082948,4.67351065991
slow,B5,50,2077,True,50,ok,0.0206484401981,0.140724036346,50,0.300875211281,4.67579173418e-16,1.55431223448e-15,2.72361537107,6.65248162331,0.020405753326,0.0276824415558,0.140724036346,0.327430861514,0.727401303461,0.39697155399,0.652688531043,0.22479814903,1.07475919713,0.0277717307258,0.028893684024,0.028893684024,0,0.695623524952,1.43755920283,0.00291693400361,0.388747080155,9.9873231763
slow,B5,100,2127,True,100,ok,0.0206484401981,0.143959298581,57,0.305790468072,4.67579173418e-16,1.7763568394e-15,7.25014308001,47.9413464174,0.0200696247139,0.331903356101,0.0853922380227,0.275801153285,0.558354067769,0.387300527908,0.509240790628,0.168015692407,2.94584969476,1.09416915025,0.0252626376104,0.0252626376104,0,0.69133385025,1.44647914989,0.00335003804984,0.30003873165,19.1724630771
slow,B6,10,2037,True,10,ok,0.0198547675624,0.134089388925,1,0.278128306849,3.94445091738e-16,1.33226762955e-15,1.17520832907,1.28252895072,0.0198547675624,0,0.0937787736177,0.275180411007,0.73653564081,0.360148539876,0.655990754,0.225398653674,0.527620428696,0,0.0343153519285,0.0208310020158,0.0134843499127,0.658981017145,1.51749439511,0.00396995587708,0.567067687542,1.90086093948
slow,B6,25,2052,True,25,ok,0.0204529321887,0.134089388925,1,0.277365118452,3.94445091738e-16,1.33226762955e-15,1.55953803153,2.29816472426,0.0199990993301,0,0.101483275787,0.27847076391,0.739591718272,0.37460471382,0.659692340016,0.227028420307,0.687746829302,0,0.0386989768398,0.0255725959995,0.0131263808403,0.646792860867,1.5460900398,0.00401169585085,0.523486082948,4.67384989938
slow,B6,50,2077,True,50,ok,0.0206462054467,0.137450482882,50,0.287266283723,5.00206806864e-16,1.7763568394e-15,2.72362461546,6.65549417972,0.0204105361026,0.0276824415558,0.137450482882,0.313457688976,0.731436613809,0.402091246808,0.656622410366,0.226452340596,1.08756873104,0.0277974430496,0.0395922925551,0.0263650011125,0.0132272914425,0.636702354048,1.57059259109,0.00301968975592,0.388747080155,9.98769633183
slow,B6,100,2127,True,100,ok,0.0206462054467,0.140744618337,57,0.291505280611,5.00206806864e-16,2.44249065418e-15,7.25014522458,47.9614334152,0.0200723169776,0.331903356101,0.080180010852,0.259562895467,0.559294286804,0.392545192085,0.510600078179,0.168619261399,2.98434427643,1.09424468337,0.0362880990386,0.023170555624,0.0131175434146,0.633216107667,1.57923967488,0.0034728917332,0.30003873165,19.1728488981
slow,B7,10,2037,True,10,ok,0.019764604902,0.116386863091,1,0.286541598992,3.50533917048e-16,1.33226762955e-15,1.17518107724,1.28204452157,0.019764604902,0,0.0988110600993,0.291913370837,0.731703655372,0.355144714963,0.650893824328,0.22320924691,0.519668204992,0,0.022633751234,0.022633751234,0,0.718706629794,1.39138830581,0.00382553677851,0.567067687542,1.90056694697
slow,B7,25,2052,True,25,ok,0.0204530083907,0.116386863091,1,0.290119321416,3.50533917048e-16,1.33226762955e-15,1.55952004581,2.29702203184,0.0200219308458,0,0.10585854002,0.293668524223,0.734932095703,0.369856630785,0.654836468817,0.224940482417,0.678422933138,0,0.0278716529734,0.0278716529734,0,0.705137841469,1.41816243746,0.00388268679656,0.523486082948,4.67351065991
slow,B7,50,2077,True,50,ok,0.0206484401981,0.137543598223,50,0.300588169434,3.50533917048e-16,1.33226762955e-15,2.72361537107,6.65067115189,0.0203145910171,0.0276824415558,0.137543598223,0.324228053241,0.725458799266,0.398606656719,0.652019662168,0.224642879715,1.07343573077,0.0293737055207,0.0289353174883,0.0289353174883,0,0.695901495015,1.4369849859,0.00297511826739,0.388747080155,9.9873231763
slow,B7,100,2127,True,100,ok,0.0206484401981,0.137932107171,52,0.295224338449,3.69168681737e-16,1.55431223448e-15,7.25014308001,47.8413914367,0.0199796431202,0.331903356101,0.0407639709944,0.231095591733,0.529797660398,0.399598202599,0.500849147565,0.166103315016,2.82075382368,1.14134767053,0.0253589584649,0.0253589584649,0,0.693324320823,1.44232644084,0.00277679534048,0.30003873165,19.1724630771
