sample,code,dilution_cap,liquidity_elasticity,money_gdp,income_floor,speed,midpoint,ai_gain,resource_growth,excluded_fraction,dilution_investment_penalty,terminal_year,calendar_terminal_year,status,sunset,price_band,mvi_gdp,gini_wealth,real_gdp,tax_gdp,usownership_share,coverage_shortfall,max_inflation,max_accounting_error
23,B2,0.0477370705475,7.34695971626,0.94792008813,0.369039215951,0.0879147372316,35.3511159065,1.23491241755,0.0276195965719,0.124683262262,0.35998426715,50,2077,ok,False,True,0.307187841801,0.729173081528,4.6378371091,0.477896247715,0,0.00262082168989,0.0213084600372,5.10978316334e-16
23,B5,0.0477370705475,7.34695971626,0.94792008813,0.369039215951,0.0879147372316,35.3511159065,1.23491241755,0.0276195965719,0.124683262262,0.35998426715,50,2077,ok,False,True,0.292587196299,0.59468831824,4.6378371091,0.463465665891,0.253120595562,0.00368092003404,0.0208535620001,4.55294810838e-16
23,B6,0.0477370705475,7.34695971626,0.94792008813,0.369039215951,0.0879147372316,35.3511159065,1.23491241755,0.0276195965719,0.124683262262,0.35998426715,50,2077,ok,False,True,0.289117812635,0.603898650941,4.6378371091,0.447948179993,0.253120595562,0.00411823620691,0.0209034932646,5.01576636273e-16
24,B2,0.0205743188724,5.19077711406,0.428031407019,0.256791013584,0.246596067411,11.3791084763,0.830419500689,0.0429855861454,0.201305157615,1.31871471742,50,2077,ok,False,True,0.200897845619,0.809147263539,6.73310275777,0.397719903937,0,0.00225205453624,0.0227478080017,3.80328812432e-16
24,B5,0.0205743188724,5.19077711406,0.428031407019,0.256791013584,0.246596067411,11.3791084763,0.830419500689,0.0429855861454,0.201305157615,1.31871471742,50,2077,ok,False,True,0.203966441508,0.5766233108,6.41326278195,0.400717928278,0.415746877287,0.00207974788674,0.0218894504923,3.21903685462e-16
24,B6,0.0205743188724,5.19077711406,0.428031407019,0.256791013584,0.246596067411,11.3791084763,0.830419500689,0.0429855861454,0.201305157615,1.31871471742,50,2077,ok,False,True,0.203087852433,0.578179860072,6.41327762381,0.393721248053,0.415746877287,0.00211089145878,0.0219553845758,3.46286812297e-16
25,B2,0.0297969259235,6.49049905662,0.792516513198,0.177453216588,0.235633921137,38.3339682374,0.498668227871,0.0423292871202,0.15448274854,0.494812402269,50,2077,ok,False,True,0.0982544293367,0.79384344648,3.74239537804,0.267826016323,0,0.0028715659142,0.0224866778361,4.58003795054e-16
25,B5,0.0297969259235,6.49049905662,0.792516513198,0.177453216588,0.235633921137,38.3339682374,0.498668227871,0.0423292871202,0.15448274854,0.494812402269,50,2077,ok,False,True,0.0822029838221,0.698902738831,3.70142260227,0.253095250198,0.176297341176,0.00434210219043,0.021839202263,4.58003795054e-16
25,B6,0.0297969259235,6.49049905662,0.792516513198,0.177453216588,0.235633921137,38.3339682374,0.498668227871,0.0423292871202,0.15448274854,0.494812402269,50,2077,ok,False,True,0.0795875218318,0.702311091809,3.70143052361,0.238333785253,0.176297341176,0.00445757195632,0.0217807686407,4.64257598579e-16
26,B2,0.0161072490954,8.54885213747,0.813749542562,0.181787934023,0.234641475483,39.1350991219,1.19848236497,0.0308659852749,0.105390259488,1.12498163116,50,2077,ok,False,True,0.101918500956,0.788188159516,5.33867877943,0.273147794431,0,0.00289818800672,0.0226217392009,5.17563419513e-16
26,B5,0.0161072490954,8.54885213747,0.813749542562,0.181787934023,0.234641475483,39.1350991219,1.19848236497,0.0308659852749,0.105390259488,1.12498163116,50,2077,ok,False,True,0.0797510453105,0.739189456136,5.33867877943,0.250726809897,0.0919046360521,0.00426326410103,0.0218922643861,5.17563419513e-16
26,B6,0.0161072490954,8.54885213747,0.813749542562,0.181787934023,0.234641475483,39.1350991219,1.19848236497,0.0308659852749,0.105390259488,1.12498163116,50,2077,ok,False,True,0.0774954268372,0.74600015957,5.33867877943,0.238784110434,0.0919046360521,0.00436116909514,0.0218284345332,3.88402189828e-16
27,B2,0.0479900408029,1.08148898092,0.924660972993,0.352145989777,0.264668801556,23.5964166018,1.02050059028,0.0468425233784,0.203988439025,0.186891994254,50,2077,ok,False,True,0.305577306069,0.737636399612,8.11095938442,0.477887743706,0,0.00215190557498,0.0223275992515,5.00458680938e-16
27,B5,0.0479900408029,1.08148898092,0.924660972993,0.352145989777,0.264668801556,23.5964166018,1.02050059028,0.0468425233784,0.203988439025,0.186891994254,50,2077,ok,False,True,0.311393475239,0.466740744615,7.99285487106,0.484325987275,0.564039754357,0.00181692422036,0.0218821915746,4.9410646147e-16
27,B6,0.0479900408029,1.08148898092,0.924660972993,0.352145989777,0.264668801556,23.5964166018,1.02050059028,0.0468425233784,0.203988439025,0.186891994254,50,2077,ok,False,True,0.308801713885,0.467352225498,7.99285840107,0.462598206769,0.564039754357,0.00239493277205,0.0219319131378,5.65927281955e-16
28,B2,0.0104976463593,5.35209570185,0.572460369313,0.202567817186,0.209678646087,38.6259435125,0.576889040431,0.055658753813,0.0245404991562,1.51934532235,50,2077,ok,False,True,0.126331833026,0.799739983993,3.98567311787,0.307116031199,0,0.00280715071632,0.0222687601858,4.25045285273e-16
28,B5,0.0104976463593,5.35209570185,0.572460369313,0.202567817186,0.209678646087,38.6259435125,0.576889040431,0.055658753813,0.0245404991562,1.51934532235,50,2077,ok,False,True,0.110356760732,0.761482125222,3.94079080334,0.291358031947,0.0624304572825,0.00302997977232,0.0217978660981,4.77640606535e-16
28,B6,0.0104976463593,5.35209570185,0.572460369313,0.202567817186,0.209678646087,38.6259435125,0.576889040431,0.055658753813,0.0245404991562,1.51934532235,50,2077,ok,False,True,0.108367992326,0.765552127204,3.94079797109,0.280552145959,0.0624304572825,0.00309398883379,0.021805341382,5.02618656993e-16
