year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,experiment,code,max_inflation
50,0.80173479641,6.48099859857,6.48099859857,6.56405484648,16.2153721203,2.50198667284,0.0206303504192,0.195167297723,0.535536338032,0.231215613168,16.1974001761,0.296692477446,0.296692477446,0.171411001583,0,0.373127366944,0.171411001583,1.22181194235,0.192933758274,1.25040341699,0.0353594560704,0.0353594560704,0,0.0553422166407,0.674283196692,1.48305638478,0,0,0.485347222622,0.373127366944,0.408486823014,0.21555306474,0.364566934946,0.603011225355,0.528285044435,0.174361849449,2.74485807177,1.59445338898,1.04897015175,2.57899506398,0.0020665366468,0,0.703307522554,23.6150236181,1.0128153473,2.22044604925e-16,2.19095414675e-16,0,1.11022302463e-15,0,B5: usownership + residual tax,ok,excluded_20pct,B5,0.0212468584692
50,0.80173479641,6.48099859857,6.48099859857,6.56406064482,16.2235322737,2.50324576174,0.0206287530319,0.195167297723,0.535536338032,0.231215613168,16.1974326399,0.296692477446,0.296692477446,0.171411001583,0,0.362113023774,0.171411001583,1.22212578782,0.191486117026,1.24102125609,0.0449264953548,0.0325935949054,0.0123329004494,0.0556118041366,0.618684900725,1.61633167195,0.0401933087087,0.0210426265105,0.471020262608,0.362113023774,0.407039519129,0.215553402103,0.36870041395,0.604891010222,0.52996674189,0.175028706966,2.77727736113,1.59464892864,1.05183115328,2.59215458694,0.00214469169808,0,0.703307522554,23.6154166158,1.01281624197,0,4.10597275326e-17,5.47463033768e-17,4.4408920985e-16,0,B6: SSM hybrid,ok,excluded_20pct,B6,0.0212599035609
50,0.80173479641,6.48099859857,6.48099859857,6.6506698423,16.1898032229,2.49804146331,0.0201210231587,0.195167297723,0.535536338032,0.24004336991,16.7404188124,0,0,0,0,0.349795679573,0,0,0.169755265762,1.1001836395,0.0356202725248,0.0356202725248,0,0.0554867964082,0.677579708473,1.47584112614,0,0,0.385320094636,0.349795679573,0.385415952098,0.215660686336,0.427664305803,0.748528048501,0.673194461546,0.233313111825,2.33239877098,1.59811282915,0.958201093337,2.20597049527,0.00271194613329,0,1,26.7508987876,1.02617979948,2.22044604925e-16,-5.486035917e-17,-1.37150897925e-16,1.33226762955e-15,0,B10: capital-tilted tax and universal transfer,ok,excluded_20pct,B10,0.0217081615815
50,0.80173479641,6.48099859857,6.48099859857,6.56401404907,15.9396404555,2.45944204632,0.0205179104691,0.195167297723,0.535536338032,0.231215613168,16.1971717604,0.296692477446,0.296692477446,0.171411001583,0,0.203455597745,0.171411001583,1.20055952568,0.0350462615265,0.227134771838,0.0471674780075,0.0333482149121,0.0138192630954,0.0555619797147,0.633546679462,1.57841565968,0.0401526687432,0.0230244892509,0.264645850293,0.203455597745,0.250623075753,0.215576814226,0.466318370272,0.625990434547,0.550044507693,0.182347267497,2.10746848712,1.59755752359,0.921187190377,1.95894424462,0.000977191072745,0,0.703307522554,23.6124468693,1.01280905238,2.22044604925e-16,2.22885433879e-16,5.57213584699e-17,1.11022302463e-15,0,B13: usownership and targeted income protection,ok,excluded_20pct,B13,0.0207908540245
50,0.80173479641,6.48099859857,6.48099859857,6.65063417207,16.0486126946,2.47625615875,0.0201282358168,0.195167297723,0.535536338032,0.24004336991,16.7402151517,0,0,0,0,0.250118697084,0,0,0.0707360004124,0.458439919541,0.0362764648691,0.0362764648691,0,0.0555167483442,0.689709274806,1.44988625864,0,0,0.329122330381,0.250118697084,0.286395161953,0.21565916154,0.51243250778,0.768232421501,0.697948029192,0.243997544477,1.61280626261,1.59763483478,0.792728829399,1.54411395978,0.00142379089704,0,1,26.7485955298,1.02617429566,0,-1.106860059e-16,-2.76715014751e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,fast_dilution,B0,0.0213022866675
50,0.80173479641,6.48099859857,6.48099859857,6.65067501381,16.215309252,2.50197697244,0.0201187310913,0.195167297723,0.535536338032,0.24004336991,16.7404483395,0,0,0,0,0.370401464583,0,0,0.190278127991,1.23319228085,0.0355378343038,0.0355378343038,0,0.0555335393873,0.67547245212,1.4804452748,0,0,0.487398161838,0.370401464583,0.405939298886,0.215661170896,0.444891132662,0.753777717856,0.679899634683,0.236212051161,2.18294542432,1.59543938576,0.928054853979,2.0744089268,0.00214069725563,0,1,26.7512370779,1.02618059743,0,-1.09548132064e-16,-2.7387033016e-17,1.33226762955e-15,0,B2: universal transfer + residual tax,ok,fast_dilution,B2,0.0216735344638
50,0.80173479641,6.47558340634,6.47558340634,6.47558340634,15.8239520793,2.44363342828,0.0203828447681,0.195167297723,0.535536338032,0.222387856425,15.6527524088,0.501968836533,0.501968836533,0.294141202243,0,0.209391830841,0.294141202243,1.81428623227,0.0297013752826,0.192333732925,0.0359148940687,0.0359148940687,0,0.0544510521491,0.695496162954,1.43782245434,0,0,0.269275412648,0.209391830841,0.24530672491,0.215605349627,0.390724298784,0.469614647357,0.43004529302,0.136003248237,2.6937041328,1.61497554296,1.03706269561,2.54082996866,0.00346744985561,0,0.498031163467,21.1300240419,1,0,0,-5.61287354288e-17,4.4408920985e-16,0,B5: usownership + residual tax,ok,fast_dilution,B5,0.0212044940986
50,0.80173479641,6.47558955822,6.47558955822,6.47558955822,15.8317189442,2.4448305134,0.0203956836485,0.195167297723,0.535536338032,0.222387856425,15.6527875287,0.501968836533,0.501968836533,0.294141202243,0,0.19324452757,0.294141202243,1.81540861898,0.0236561588477,0.153187575222,0.0460142681036,0.0330071162998,0.0130071518038,0.054659116484,0.63687923175,1.57015639724,0.0400811032204,0.0215395801048,0.248510172026,0.19324452757,0.239258795673,0.215602636826,0.395129044259,0.468672470158,0.42958410384,0.135936982775,2.7264598104,1.61577302423,1.0398978795,2.5509847708,0.00358247581018,0,0.498031163467,21.130421263,1,0,1.40252998242e-17,-2.80505996484e-17,4.4408920985e-16,0,B6: SSM hybrid,ok,fast_dilution,B6,0.021227349657
50,0.80173479641,6.48099859857,6.48099859857,6.6506698423,16.1898032229,2.49804146331,0.0201210231587,0.195167297723,0.535536338032,0.24004336991,16.7404188124,0,0,0,0,0.349795679573,0,0,0.169755265762,1.1001836395,0.0356202725248,0.0356202725248,0,0.0554867964082,0.677579708473,1.47584112614,0,0,0.385320094636,0.349795679573,0.385415952098,0.215660686336,0.427664305803,0.748528048501,0.673194461546,0.233313111825,2.33239877098,1.59811282915,0.958201093337,2.20597049527,0.00271194613329,0,1,26.7508987876,1.02617979948,2.22044604925e-16,-5.486035917e-17,-1.37150897925e-16,1.33226762955e-15,0,B10: capital-tilted tax and universal transfer,ok,fast_dilution,B10,0.0217081615815
50,0.80173479641,6.47554012129,6.47554012129,6.47554012129,15.9123711669,2.45730408103,0.0211930842577,0.195167297723,0.535536338032,0.222387856425,15.6525053049,0.501968836533,0.501968836533,0.294141202243,0,0.174387208672,0.294141202243,1.81590053754,0.0050742595634,0.0328585713887,0.0461213339779,0.0329033019808,0.0132180319971,0.0546107447257,0.635409313317,1.57378870445,0.0403608810935,0.0219384234322,0.22425988343,0.174387208672,0.22050854265,0.215434283087,0.401439548907,0.472445777354,0.433520637743,0.137028298726,2.63751236093,1.61678756227,1.0304056982,2.44853066769,0.000186532185882,0,0.498031163467,21.1274175762,1,0,9.76794858649e-17,0,1.7763568394e-15,0,B13: usownership and targeted income protection,ok,fast_dilution,B13,0.0212029369783
