delta,year,distributable_profit,user_share,user_dividend,matched_levy_transfer,old_owners_dividend
0.01,8,126.677008139,0.0765167775177,9.69291644836,9.69291644836,116.98409169
0.01,9,130.477318383,0.0856601757601,11.1767100254,11.1767100254,119.300608358
0.01,10,134.391637934,0.094713045307,12.7286412926,12.7286412926,121.662996642
0.01,11,138.423387072,0.103676282482,14.3512221803,14.3512221803,124.072164892
0.01,12,142.576088685,0.112550774735,16.0470492401,16.0470492401,126.529039445
0.01,13,146.853371345,0.121337400728,17.8188063671,17.8188063671,129.034564978
0.01,14,151.258972486,0.130037030423,19.6692676069,19.6692676069,131.589704879
0.01,15,155.79674166,0.138650525172,21.6013000512,21.6013000512,134.195441609
0.01,16,160.47064391,0.147178737794,23.6178668236,23.6178668236,136.852777086
0.01,17,165.284763227,0.155622512667,25.722030159,25.722030159,139.562733068
0.01,18,170.243306124,0.163982685809,27.9169545792,27.9169545792,142.326351545
0.01,19,175.350605308,0.172260084959,30.205910168,30.205910168,145.14469514
0.01,20,180.611123467,0.180455529663,32.5922759482,32.5922759482,148.018847519
0.01,21,186.029457171,0.188569831349,35.0795433647,35.0795433647,150.949913806
0.01,22,191.610340886,0.196603793415,37.6713198758,37.6713198758,153.93902101
0.01,23,197.358651113,0.204558211302,40.3713326566,40.3713326566,156.987318456
0.01,24,203.279410646,0.212433872576,43.1834324186,43.1834324186,160.095978227
0.01,25,209.377792965,0.220231557006,46.1115973473,46.1115973473,163.266195618
0.01,26,215.659126754,0.22795203664,49.1599371636,49.1599371636,166.499189591
0.01,27,222.128900557,0.235596075881,52.332697311,52.332697311,169.796203246
0.01,28,228.792767574,0.243164431565,55.6342632733,55.6342632733,173.1585043
0.01,29,235.656550601,0.250657853035,59.0691650273,59.0691650273,176.587385574
0.01,30,242.726247119,0.258077082213,62.6420816329,62.6420816329,180.084165486
0.01,31,250.008034533,0.265422853676,66.3578459676,66.3578459676,183.650188565
0.01,32,257.508275569,0.272695894729,70.2214496062,70.2214496062,187.286825962
0.01,33,265.233523836,0.279896925474,74.2380478542,74.2380478542,190.995475981
0.01,34,273.190529551,0.287026658885,78.412964936,78.412964936,194.777564615
0.01,35,281.386245437,0.294085800876,82.751699345,82.751699345,198.634546092
0.01,36,289.8278328,0.301075050373,87.2599293598,87.2599293598,202.567903441
0.01,37,298.522667784,0.307995099379,91.9435187311,91.9435187311,206.579149053
0.01,38,307.478347818,0.314846633048,96.8085225457,96.8085225457,210.669825272
0.01,39,316.702698252,0.321630329751,101.861193272,101.861193272,214.84150498
0.01,40,326.2037792,0.32834686114,107.107986992,107.107986992,219.095792208
0.01,41,335.989892576,0.334996892217,112.555569829,112.555569829,223.434322747
0.01,42,346.069589353,0.341581081403,118.210824572,118.210824572,227.858764781
0.01,43,356.451677034,0.348100080597,124.080857505,124.080857505,232.370819529
0.01,44,367.145227345,0.354554535245,130.173005449,130.173005449,236.972221896
0.01,45,378.159584165,0.360945084401,136.494843024,136.494843024,241.664741142
0.01,46,389.50437169,0.367272360793,143.05419013,143.05419013,246.45018156
0.01,47,401.189502841,0.373536990884,149.859119665,149.859119665,251.330383175
0.01,48,413.225187926,0.379739594935,156.91796548,156.91796548,256.307222446
0.01,49,425.621943564,0.385880787064,164.239330574,164.239330574,261.38261299
0.01,50,438.390601871,0.391961175311,171.832095555,171.832095555,266.558506316
0.02,1,103,0.0196078431373,2.01960784314,2.01960784314,100.980392157
0.02,2,106.09,0.038831218762,4.11960399846,4.11960399846,101.970396002
0.02,3,109.2727,0.057677665453,6.30259423374,6.30259423374,102.970105766
0.02,4,112.550881,0.0761545739735,8.5712643929,8.5712643929,103.979616607
0.02,5,115.92740743,0.0942691901701,10.9283828169,10.9283828169,104.999024613
0.02,6,119.405229653,0.112028617814,13.3768028378,13.3768028378,106.028426815
0.02,7,122.987386542,0.129439821386,15.9194653468,15.9194653468,107.067921196
0.02,8,126.677008139,0.14650962881,18.5594014412,18.5594014412,108.117606698
0.02,9,130.477318383,0.163244734127,21.2997351491,21.2997351491,109.177583234
0.02,10,134.391637934,0.179651700125,24.1436862375,24.1436862375,110.247951697
0.02,11,138.423387072,0.195736960907,27.094573104,27.094573104,111.328813968
0.02,12,142.576088685,0.211506824418,30.1558157557,30.1558157557,112.420272929
0.02,13,146.853371345,0.22696747492,33.3309388777,33.3309388777,113.522432467
0.02,14,151.258972486,0.242124975412,36.6235749939,36.6235749939,114.635397492
0.02,15,155.79674166,0.256985270011,40.0374677224,40.0374677224,115.759273938
0.02,16,160.47064391,0.271554186286,43.5764751297,43.5764751297,116.89416878
0.02,17,165.284763227,0.285837437535,47.2445731844,47.2445731844,118.040190043
0.02,18,170.243306124,0.299840625034,51.0458593161,51.0458593161,119.197446808
0.02,19,175.350605308,0.31356924023,54.9845560802,54.9845560802,120.366049228
0.02,20,180.611123467,0.327028666892,59.0650149332,59.0650149332,121.546108534
0.02,21,186.029457171,0.340224183227,63.2917201222,63.2917201222,122.737737049
0.02,22,191.610340886,0.353160963948,67.6692926898,67.6692926898,123.941048196
0.02,23,197.358651113,0.365844082302,72.2024946007,72.2024946007,125.156156512
0.02,24,203.279410646,0.378278512061,76.8962329919,76.8962329919,126.383177654
0.02,25,209.377792965,0.390469129472,81.7555645499,81.7555645499,127.622228416
0.02,26,215.659126754,0.402420715168,86.7857000211,86.7857000211,128.873426733
0.02,27,222.128900557,0.414137956047,91.9920088557,91.9920088557,130.136891701
0.02,28,228.792767574,0.425625447105,97.380023993,97.380023993,131.412743581
0.02,29,235.656550601,0.43688769324,102.955446789,102.955446789,132.701103812
0.02,30,242.726247119,0.44792911102,108.724152093,108.724152093,134.002095026
0.02,31,250.008034533,0.458754030412,114.692193477,114.692193477,135.315841055
0.02,32,257.508275569,0.469366696482,120.86580862,120.86580862,136.642466948
0.02,33,265.233523836,0.479771271061,127.251424859,127.251424859,137.982098977
0.02,34,273.190529551,0.489971834374,133.855664897,133.855664897,139.334864653
0.02,35,281.386245437,0.499972386641,140.685352699,140.685352699,140.700892738
0.02,36,289.8278328,0.509776849648,147.747519545,147.747519545,142.080313255
0.02,37,298.522667784,0.519389068282,155.049410282,155.049410282,143.473257503
0.02,38,307.478347818,0.528812812041,162.598489751,162.598489751,144.879858066
0.02,39,316.702698252,0.538051776511,170.402449421,170.402449421,146.300248832
0.02,40,326.2037792,0.547109584815,178.469214203,178.469214203,147.734564997
0.02,41,335.989892576,0.555989789034,186.806949491,186.806949491,149.182943085
0.02,42,346.069589353,0.564695871602,195.424068395,195.424068395,150.645520958
0.02,43,356.451677034,0.573231246669,204.329239203,204.329239203,152.122437831
0.02,44,367.145227345,0.58159926144,213.531393065,213.531393065,153.61383428
0.02,45,378.159584165,0.58980319749,223.039731902,223.039731902,155.119852263
0.02,46,389.50437169,0.597846272049,232.863736562,232.863736562,156.640635128
0.02,47,401.189502841,0.605731639264,243.013175211,243.013175211,158.17632763
0.02,48,413.225187926,0.613462391435,253.498111986,253.498111986,159.72707594
0.02,49,425.621943564,0.62104156023,264.328915899,264.328915899,161.293027665
0.02,50,438.390601871,0.628472117873,275.516270013,275.516270013,162.874331857
