k0,elasticity,growth,inflation,demurrage,k,net,burn,gross
0.2,1,0.03,0.02,0.05,0.186478763981,0.00898136822525,0.0088748697878,0.017856238013
0.2,1,0.03,0.02,0.055,0.185548697266,0.00893657346435,0.00971366680907,0.0186502402734
0.2,1,0.03,0.02,0.06,0.184623269277,0.00889200211825,0.0105438760295,0.0194358781478
0.2,1,0.03,0.02,0.065,0.18370245688,0.00884765307267,0.0113655622475,0.0202132153202
0.2,1,0.03,0.02,0.07,0.182786237054,0.00880352521887,0.0121787898285,0.0209823150473
0.2,1,0.03,0.02,0.075,0.181874586894,0.00875961745366,0.012983622708,0.0217432401617
0.2,1,0.03,0.02,0.08,0.180967483607,0.00871592867935,0.0137801243942,0.0224960530736
0.2,1,0.03,0.02,0.085,0.180064904517,0.00867245780371,0.0145683579707,0.0232408157744
0.2,1,0.03,0.02,0.09,0.179166827059,0.00862920373996,0.0153483860987,0.0239775898387
0.2,1,0.03,0.02,0.095,0.178273228781,0.00858616540676,0.0161202710206,0.0247064364273
0.2,1,0.03,0.02,0.1,0.177384087343,0.00854334172813,0.0168840745615,0.0254274162897
0.2,1,0.03,0.02,0.105,0.176499380517,0.0085007316335,0.0176398581328,0.0261405897663
0.2,1,0.03,0.02,0.11,0.175619086184,0.0084583340576,0.0183876827339,0.0268460167915
0.2,1,0.03,0.02,0.115,0.174743182338,0.00841614794049,0.0191276089557,0.0275437568962
0.2,1,0.03,0.02,0.12,0.17387164708,0.00837417222752,0.0198596969823,0.0282338692098
0.2,1,0.03,0.02,0.125,0.173004458622,0.00833240586929,0.0205840065941,0.0289164124634
0.2,1,0.03,0.02,0.13,0.172141595285,0.00829084782165,0.0213005971702,0.0295914449919
0.2,1,0.03,0.02,0.135,0.171283035497,0.00824949704563,0.0220095276909,0.0302590247365
0.2,1,0.03,0.02,0.14,0.170428757793,0.00820835250746,0.02271085674,0.0309192092475
0.2,1,0.03,0.02,0.145,0.169578740818,0.00816741317854,0.0234046425077,0.0315720556862
0.2,1,0.03,0.02,0.15,0.168732963319,0.00812667803537,0.0240909427926,0.032217620828
0.2,1,0.03,0.02,0.155,0.167891404154,0.00808614605957,0.0247698150046,0.0328559610642
0.2,1,0.03,0.02,0.16,0.167054042282,0.00804581623785,0.0254413161671,0.033487132405
0.2,1,0.03,0.02,0.165,0.16622085677,0.00800568756195,0.0261055029194,0.0341111904813
0.2,1,0.03,0.02,0.17,0.165391826789,0.00796575902866,0.0267624315192,0.0347281905479
0.2,1,0.03,0.02,0.175,0.164566931611,0.00792602963976,0.027412157845,0.0353381874848
0.2,1,0.03,0.02,0.18,0.163746150616,0.00788649840201,0.0280547373984,0.0359412358005
0.2,1,0.03,0.02,0.185,0.162929463282,0.00784716432713,0.0286902253067,0.0365373896338
0.2,1,0.03,0.02,0.19,0.162116849194,0.00780802643177,0.0293186763248,0.0371267027566
0.2,1,0.03,0.02,0.195,0.161308288035,0.00776908373748,0.0299401448381,0.0377092285756
0.2,1,0.03,0.02,0.2,0.160503759592,0.00773033527068,0.0305546848644,0.038285020135
0.2,1,0.03,0.02,0.205,0.159703243752,0.00769178006267,0.0311623500563,0.038854130119
0.2,1,0.03,0.02,0.21,0.158906720501,0.00765341714957,0.0317631937037,0.0394166108533
0.2,1,0.03,0.02,0.215,0.158114169926,0.00761524557229,0.032357268736,0.0399725143083
0.2,1,0.03,0.02,0.22,0.157325572213,0.00757726437654,0.0329446277241,0.0405218921006
0.2,1,0.03,0.02,0.225,0.156540907648,0.0075394726128,0.033525322883,0.0410647954958
0.2,1,0.03,0.02,0.23,0.155760156614,0.00750186933627,0.0340994060739,0.0416012754102
0.2,1,0.03,0.02,0.235,0.154983299592,0.00746445360686,0.0346669288066,0.0421313824134
0.2,1,0.03,0.02,0.24,0.154210317161,0.00742722448918,0.0352279422412,0.0426551667303
0.2,1,0.03,0.02,0.245,0.153441189995,0.0073901810525,0.035782497191,0.0431726782435
0.2,1,0.03,0.02,0.25,0.152675898867,0.00735332237073,0.0363306441242,0.0436839664949
0.2,1,0.03,0.02,0.255,0.151914424645,0.0073166475224,0.0368724331663,0.0441890806887
0.2,1,0.03,0.02,0.26,0.151156748291,0.00728015559065,0.0374079141021,0.0446880696928
