year,calendar_year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,scenario,code
7,2034,0.016800962325,1.11562941716,1.11562941716,1.11562941716,1.14371352155,1.02517332724,0.0187730513772,0.571935538084,0.99026681077,0.220420024058,3.31521392754,0,0,0,0,0.199964132574,0,0,0.0154908397987,0.017282036576,0.0314727412336,0.0168452850992,0.0146274561344,0.0253353303266,0.6817383369,1.46683844207,0.04,0.0219997127279,0.256502397118,0.199964132574,0.231436873808,0.215946034009,0.391038912148,0.740332819313,0.658551755982,0.226240794698,0.458499376781,0.277427498898,-0.695281535826,0.442625669614,0.000478107827713,0,1,1.33941986247,1,0,-1.09205747695e-16,4.85358878645e-17,1.33226762955e-15,0,B13: usownership and targeted income protection,ok,slow,B13
8,2035,0.0199536363932,1.13490684044,1.13490684044,1.13490684044,1.18600197094,1.04502143143,0.0193607301943,0.570422254531,0.98844039317,0.22049884091,3.36654673474,0,0,0,0,0.198561786639,0,0,0.0154672346709,0.0175538704307,0.0327269854749,0.0182978498725,0.0144291356024,0.0278323898127,0.675727915909,1.47988558184,0.04,0.02194778783,0.254729302611,0.198561786639,0.231288772114,0.215821537443,0.391939026325,0.740919072945,0.659061696766,0.226430933223,0.466558232095,0.282180129551,-0.679603542234,0.449366812351,0.000476120896863,0,1,1.52673489498,1,0,2.25250397425e-16,1.87221109548e-16,1.33226762955e-15,0,B13: usownership and targeted income protection,ok,slow,B13
9,2036,0.023329867599,1.15468640792,1.15468640792,1.15468640792,1.230436835,1.065602597,0.0196944913807,0.568801663552,0.986484463707,0.22058324669,3.41925840743,0,0,0,0,0.197291177998,0,0,0.015461873871,0.0178536155998,0.0339215917143,0.019658516816,0.0142630748983,0.030182332593,0.670983816326,1.49034891106,0.04,0.0218985427236,0.253126683716,0.197291177998,0.231212769712,0.215750895841,0.392852062431,0.741397991103,0.659517109183,0.226610391395,0.474644243093,0.287075492134,-0.663625684949,0.457317865821,0.000473063375021,0,1,1.71312313813,1,0,-2.42493096256e-16,9.02299893047e-17,1.33226762955e-15,0,B13: usownership and targeted income protection,ok,slow,B13
10,2037,0.0269423176208,1.17498813821,1.17498813821,1.17498813821,1.27696737278,1.08679171411,0.0198846335027,0.567067687542,0.984391687176,0.220673557941,3.47339171598,0,0,0,0,0.196247823856,0,0,0.0154795491627,0.0181882866511,0.0349423976451,0.020810667652,0.0141317299931,0.0321880335387,0.667344965157,1.49847537962,0.04,0.0218576648565,0.25181722737,0.196247823856,0.231190221501,0.215710672338,0.393767471919,0.741788886677,0.659913182139,0.226771925831,0.482673105731,0.292109678612,-0.647442459378,0.465642435786,0.000470218048869,0,1,1.89870129063,1,0,1.03243815766e-16,0,1.33226762955e-15,0,B13: usownership and targeted income protection,ok,slow,B13
11,2038,0.030803864069,1.19583320937,1.19583320937,1.19583320937,1.32560536529,1.10852028101,0.0199933129963,0.565214145247,0.982154603277,0.220770096602,3.52899242617,0,0,0,0,0.195436550907,0,0,0.0155198677226,0.0185591732278,0.0357710053495,0.0217391487364,0.0140318566131,0.0338163397329,0.664598456045,1.50466795537,0.04,0.0218272590185,0.250807303537,0.195436550907,0.231207556256,0.215687688534,0.394689753046,0.742113457437,0.660258692548,0.226916201065,0.491380977764,0.297283172651,-0.631107661608,0.474243209019,0.000468109796492,0,1,2.08358850972,1,-2.22044604925e-16,4.18760761571e-17,-1.67504304628e-16,1.33226762955e-15,0,B13: usownership and targeted income protection,ok,slow,B13
12,2039,0.0349275174422,1.21724398872,1.21724398872,1.21724398872,1.37640207824,1.1307528244,0.0200560547046,0.563234791628,0.979765674725,0.220873187936,3.58610944089,0,0,0,0,0.194825208408,0,0,0.0155804485337,0.0189652073192,0.0364296621198,0.022471828072,0.0139578340478,0.0351083275857,0.662542991164,1.50933601794,0.04,0.0218066909629,0.250055838653,0.194825208408,0.231254870528,0.215674421994,0.39562870837,0.742391251853,0.660566313519,0.227046820913,0.500947539229,0.302598975856,-0.614652253239,0.482078746139,0.000466882449467,0,1,2.2679064178,1,0,-4.0330621487e-17,-4.0330621487e-17,1.33226762955e-15,0,B13: usownership and targeted income protection,ok,slow,B13
13,2040,0.0393263230004,1.23924405525,1.23924405525,1.23924405525,1.42943491112,1.15347328484,0.0200932157239,0.56112336496,0.977217344096,0.220983158075,3.64479493939,0,0,0,0,0.194394910751,0,0,0.0156600067348,0.0194065702512,0.0369316611649,0.0230219297279,0.013909731437,0.0360866630788,0.660984206196,1.51289545291,0.0400168164114,0.0218033760774,0.249538777969,0.194394910751,0.231326571916,0.215666565181,0.39659221599,0.742640173123,0.660850631373,0.22716897184,0.510643198182,0.308061425667,-0.598092778935,0.489512988992,0.000466577956849,0,1,2.45177907495,1,0,-1.11648707156e-16,-3.88343329238e-17,1.33226762955e-15,0,B13: usownership and targeted income protection,ok,slow,B13
14,2041,0.0440132465984,1.2618582128,1.2618582128,1.2618582128,1.48479973903,1.17667716068,0.0201165264537,0.558873641633,0.974502099969,0.221100331165,3.70510451176,0,0,0,0,0.194060116668,0,0,0.0157531082862,0.0198781890681,0.0373546285926,0.0234803144239,0.0138743141686,0.0368991467471,0.659817912821,1.51556964515,0.0400279647172,0.0218033858184,0.249146487581,0.194060116668,0.231414745261,0.215661636975,0.397598921757,0.742870429874,0.661119934985,0.22728559763,0.519778983587,0.313674438855,-0.581441317302,0.497049739569,0.000466941262155,0,1,2.63533291304,1,0,-9.34657209525e-17,-7.4772576762e-17,1.33226762955e-15,0,B13: usownership and targeted income protection,ok,slow,B13
15,2042,0.0490010437402,1.28511249232,1.28511249232,1.28511249232,1.54260548113,1.2003661083,0.0201320705548,0.556479499005,0.971612552782,0.221225026094,3.7670972857,0,0,0,0,0.193827230193,0,0,0.0158603398208,0.0203823208362,0.0376914604924,0.0238422015456,0.0138492589468,0.0375412942357,0.658934891636,1.51760061987,0.0400349579361,0.0218066735186,0.248887338047,0.193827230193,0.231518690686,0.215658350865,0.398650286049,0.743092184988,0.661383684541,0.227400398426,0.527922804007,0.319432858757,-0.564704105591,0.504683376122,0.000467931656597,0,1,2.81869662703,1,0,1.12454123701e-16,0,1.33226762955e-15,0,B13: usownership and targeted income protection,ok,slow,B13
16,2043,0.0543021113941,1.30903414102,1.30903414102,1.30903414102,1.60297227569,1.22454581241,0.020143607804,0.553934986531,0.968541520683,0.221357552785,3.83083604253,0,0,0,0,0.193670798048,0,0,0.0159802693159,0.0209187181172,0.0379653831585,0.0241332027996,0.0138321803589,0.0380577929112,0.658253075591,1.51917254485,0.0400396211664,0.0218131948744,0.248728795534,0.193670798048,0.231636181206,0.21565591189,0.399754664212,0.743313096918,0.6616493236,0.227516366453,0.536111072927,0.325354647064,-0.547884842324,0.512411692152,0.000472157769185,0,1,3.0020010188,1,0,1.47178086802e-16,6.92602761422e-17,1.33226762955e-15,0,B13: usownership and targeted income protection,ok,slow,B13
17,2044,0.0599283224886,1.3336515967,1.3336515967,1.3336515967,1.66603112555,1.24922515721,0.020153876277,0.551234405205,0.965282125407,0.221498208062,3.89638731882,0,0,0,0,0.19357373337,0,0,0.0161144428798,0.0214910524766,0.0381944506914,0.0243733094432,0.0138211412482,0.0384838670074,0.657711675323,1.52042306305,0.0400430823412,0.0218226811966,0.248649053059,0.19357373337,0.231768184061,0.215653741182,0.400913955821,0.743538648009,0.661922507149,0.227635836274,0.544355522167,0.331446580295,-0.530982245262,0.520232600751,0.000474894802145,0,1,3.18537878894,1,0,-1.24947735925e-17,1.33277584986e-16,1.33226762955e-15,0,B13: usownership and targeted income protection,ok,slow,B13
18,2045,0.0658908434629,1.35899444488,1.35899444488,1.35899444488,1.73192107724,1.27441365472,0.0201632967185,0.548372395138,0.961827897976,0.221647271087,3.96382148982,0,0,0,0,0.193520758618,0,0,0.0162604383912,0.0220978454449,0.0383914295543,0.0245767776139,0.0138146519404,0.0388449328626,0.657266186572,1.5214535913,0.0400461628831,0.0218348082722,0.248628611977,0.193520758618,0.231912188172,0.215651749781,0.402136622531,0.743773244598,0.662207684915,0.227760657069,0.552506680536,0.337715904269,-0.513999040734,0.528145878715,0.000484161727269,0,1,3.36896427206,1,0,2.00323617371e-17,6.41035575588e-17,1.33226762955e-15,0,B13: usownership and targeted income protection,ok,slow,B13
