year,calendar_year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,experiment
36,2063,0.731366905123,4.04192627799,4.04192627799,4.3059707325,7.42131822963,1.83608451001,0.0202673379323,0.228943885541,0.576302098254,0.219029496423,9.39787615835,0.321707917057,0.321707917057,0.179006799149,0,0.256030091362,0.179006799149,0.691750568929,0.0865509110972,0.349832401948,0.046150578545,0.0326760954307,0.0134744831142,0.0534972477977,0.643475655705,1.55406034577,0.0400771486281,0.02206040081,0.327835801979,0.256030091362,0.302180669907,0.21562975881,0.417852322842,0.567423350728,0.517873330577,0.171391177671,1.5821757288,1.00339139799,0.545259815444,1.48874820866,0.00312815899618,0,0.678292082943,13.9799439667,1.06532639052,0,8.22795418078e-17,5.98396667693e-17,6.66133814775e-16,0,B6: SSM hybrid,ok,fast_equity_diffusion
37,2064,0.741307547172,4.17778006867,4.17778006867,4.45384379956,7.82674629857,1.87342228885,0.0203355448177,0.224172377357,0.570543252525,0.218880386792,9.74843770621,0.343026837924,0.343026837924,0.192528918808,0,0.250113324351,0.192528918808,0.768406806937,0.0808880312457,0.337932404732,0.0463900513927,0.0329557949871,0.0134342564056,0.054013195707,0.64309919709,1.55497006453,0.0400802013797,0.0220181950002,0.320198494728,0.250113324351,0.296503375744,0.215615344499,0.41528928353,0.555766041237,0.507641841449,0.167307434162,1.6518644407,1.0375729776,0.581652950635,1.54947721654,0.00309334380751,0,0.656973162076,14.4899419488,1.06607904829,0,-1.41849880177e-17,-1.41849880177e-16,8.881784197e-16,0,B6: SSM hybrid,ok,fast_equity_diffusion
38,2065,0.750157476529,4.31884286954,4.31884286954,4.60144394729,8.25618800333,1.91166667849,0.0204141852387,0.219924411266,0.56541628209,0.218747637852,10.1082681198,0.364025075466,0.364025075466,0.205878904561,0,0.244535093791,0.205878904561,0.848687495577,0.0753568117554,0.325454229121,0.0464204456012,0.0330201187165,0.0134003268848,0.0541625346953,0.642668815962,1.55601139368,0.0401006634453,0.0219804076435,0.313003973669,0.244535093791,0.290955539392,0.215598727637,0.412284294369,0.544212953087,0.49743845775,0.163231966844,1.72046585313,1.07306683446,0.618680229547,1.61586482831,0.00304146570508,0,0.635974924534,14.98920591,1.06543444304,0,-9.41301381369e-17,-1.07577300728e-16,2.22044604925e-16,0,B6: SSM hybrid,ok,fast_equity_diffusion
39,2066,0.758013763996,4.46527252012,4.46527252012,4.74895113369,8.70890286852,1.95036312549,0.0202422563708,0.216153393282,0.560864951572,0.21862979354,10.4780136418,0.384650454797,0.384650454797,0.21900745184,0,0.236784674532,0.21900745184,0.93272992099,0.0676071657975,0.301884419599,0.0464575511021,0.0330921274323,0.0133654236698,0.054315193844,0.642353092741,1.55677618945,0.0401242555716,0.0219371081208,0.303037756718,0.236784674532,0.283242225634,0.215635059836,0.410695057755,0.532965048519,0.487415270886,0.159224293396,1.79452854525,1.11020730822,0.654952099058,1.68305194997,0.00315046373625,0,0.615349545203,15.4773353626,1.06352996649,0,1.01985110307e-16,0,4.4408920985e-16,0,B6: SSM hybrid,ok,fast_equity_diffusion
40,2067,0.764970203992,4.61723101483,4.61723101483,4.89657138512,9.18515495329,1.98932107226,0.0199747145844,0.212814302084,0.556834923676,0.21852544694,10.8583152944,0.404860658557,0.404860658557,0.23187451968,0,0.226796075045,0.23187451968,1.02084831237,0.0578854744213,0.267270607806,0.0467810208004,0.0334670347082,0.0133139860922,0.0549498428902,0.642513993679,1.5563863353,0.0400726769112,0.0218603605126,0.290215560003,0.226796075045,0.273577095845,0.215691621424,0.410325741146,0.522100987824,0.477636716927,0.155309485178,1.86687952432,1.1489690996,0.690132795312,1.74928270174,0.00338969922392,0,0.595139341443,15.9540366221,1.06049954386,0,6.64792991135e-17,2.41742905867e-17,1.11022302463e-15,0,B6: SSM hybrid,ok,fast_equity_diffusion
41,2068,0.771115963868,4.77488540108,4.77488540108,5.04452894767,9.68971786471,2.02930898876,0.0201012883544,0.209864337343,0.553274541676,0.218433260542,11.2498101636,0.424622158998,0.424622158998,0.244448463727,0,0.219059571109,0.244448463727,1.11243599145,0.0504425381514,0.240857339013,0.0470478255339,0.0337774078245,0.0132704177094,0.0554585322279,0.642834417946,1.55561054617,0.04,0.0217884655934,0.280282617017,0.219059571109,0.266107396643,0.215664858492,0.408036495471,0.511382434273,0.467941273875,0.15142656544,1.95102152292,1.18887980745,0.726408377875,1.8202503947,0.00344516739402,0,0.575377841002,16.4191101518,1.05647120799,2.22044604925e-16,2.291548712e-17,0,4.4408920985e-16,0,B6: SSM hybrid,ok,fast_equity_diffusion
42,2069,0.776534690267,4.93840855913,4.93840855913,5.19305960757,10.2238890755,2.07028012225,0.0201896969453,0.207263348672,0.550135347123,0.218351979646,11.653132839,0.443909172539,0.443909172539,0.256705099028,0,0.211950160119,0.256705099028,1.20774258017,0.0431146799972,0.212917904722,0.0468106890747,0.0335502013391,0.0132604877356,0.0550682159186,0.642798218176,1.55569815181,0.0400303865063,0.0217653359045,0.271158059126,0.211950160119,0.258760849194,0.215646169197,0.405478716501,0.500869512704,0.458377681044,0.147595699115,2.03741860389,1.23030339181,0.763248849627,1.90288730028,0.0035088289294,0,0.556090827461,16.8724384906,1.05156540723,-2.22044604925e-16,-2.171821342e-16,-4.34364268401e-17,1.44328993201e-15,0,B6: SSM hybrid,ok,fast_equity_diffusion
43,2070,0.781303987764,5.10797987514,5.10797987514,5.34240519249,10.7875737355,2.11190607622,0.0201064356088,0.204974085873,0.547372381875,0.218280440184,12.0689169643,0.462702665304,0.462702665304,0.2686267514,0,0.203240123605,0.2686267514,1.30687423962,0.0343577501973,0.175498696563,0.0467813968822,0.0335435222389,0.0132378746433,0.0550606897869,0.642753511592,1.55580635806,0.0400569090836,0.0217295758025,0.25999109406,0.203240123605,0.250021520487,0.21566377029,0.403817633299,0.490684195024,0.449093172486,0.143852361651,2.12414595438,1.27346631554,0.799692405582,1.9797339362,0.00366935050293,0,0.537297334696,17.3139749836,1.04589393911,0,-8.23334738166e-17,0,1.11022302463e-15,0,B6: SSM hybrid,ok,fast_equity_diffusion
44,2071,0.785495190856,5.28378582132,5.28378582132,5.49280919233,11.3845193616,2.15461408668,0.0202224951828,0.202962308389,0.544944320196,0.218217572137,12.49779686,0.480989428004,0.480989428004,0.280201339464,0,0.195761817293,0.280201339464,1.41025946935,0.0270591681058,0.142974848774,0.0469365873898,0.0337394660787,0.0131971213111,0.0553967989849,0.642790290259,1.55571733916,0.0400319306827,0.0216683416017,0.250404473567,0.195761817293,0.242698404683,0.215639236577,0.401053557316,0.480702157371,0.440035166571,0.14016503046,2.21639752854,1.31805514714,0.836893604725,2.06122063575,0.00371932537925,0,0.519010571996,17.7437334438,1.03955939511,2.22044604925e-16,-2.38925010704e-16,-3.90081650129e-17,3.33066907388e-16,0,B6: SSM hybrid,ok,fast_equity_diffusion
45,2072,0.789173359243,5.46602045778,5.46602045778,5.64451339248,12.0169510919,2.19848264102,0.0203602838261,0.201196787563,0.542813471483,0.218162399611,12.9404091878,0.498761230511,0.498761230511,0.291421515281,0,0.189416276008,0.291421515281,1.51755646998,0.0205734853233,0.112455091665,0.0467673261414,0.0335934131165,0.0131739130249,0.0551651008503,0.642554741905,1.55628763556,0.0400667485549,0.0216334148033,0.242270614656,0.189416276008,0.236183602149,0.215610116826,0.397687097992,0.470918719941,0.43113612913,0.136536016359,2.31060898812,1.36421549686,0.874800759036,2.16204955172,0.00372526545587,0,0.501238769489,18.1617788044,1.0326550067,0,-1.84776157635e-17,-3.69552315271e-17,6.66133814775e-16,0,B6: SSM hybrid,ok,fast_equity_diffusion
46,2073,0.792397436693,5.65488587053,5.65488587053,5.79775539014,12.6851973041,2.24322782007,0.0203527552201,0.199649230387,0.540945688239,0.21811403845,13.3973946307,0.516014060458,0.516014060458,0.302283880278,0,0.182198024567,0.302283880278,1.62890238632,0.0132582994704,0.0749741703424,0.0466719825945,0.033529256359,0.0131427262355,0.0550828904249,0.642234720077,1.55706312465,0.0401080851478,0.0215912736437,0.233023782912,0.182198024567,0.228870007161,0.215611707691,0.394867345796,0.461434500005,0.422451894924,0.132993279531,2.40601297205,1.4121955367,0.912582917582,2.25954750615,0.00379312147381,0,0.483985939542,18.5682187665,1.02526479276,0,-5.68887458908e-17,3.50084590097e-17,1.11022302463e-15,0,B6: SSM hybrid,ok,fast_equity_diffusion
47,2074,0.795220524113,5.85059255876,5.85059255876,5.9527668571,13.3918476331,2.28897286875,0.0203925113074,0.198294148426,0.53931020787,0.218071692138,13.8693995722,0.532747445787,0.532747445787,0.312788284482,0,0.175226264429,0.312788284482,1.744446192,0.0063773218927,0.0373111120102,0.0467543645858,0.033660146502,0.0130942180838,0.0553306146055,0.642005937381,1.5576179935,0.040105826566,0.0215243012775,0.224095051511,0.175226264429,0.221980629014,0.215603307122,0.391772340734,0.452215068587,0.413962745786,0.129529675495,2.51936168056,1.46188727242,0.95057298846,2.34727971701,0.00382738341926,0,0.467252554213,18.9631964141,1.01746392307,0,-7.46126113093e-17,0,6.66133814775e-16,0,B6: SSM hybrid,ok,fast_equity_diffusion
48,2075,0.797690227249,6.05335978349,6.05335978349,6.10977241687,14.1393766699,2.33578990439,0.0204532942617,0.19710869092,0.537879451256,0.218034646591,14.3570777589,0.548963858191,0.548963858191,0.322937210897,0,0.168886452049,0.322937210897,1.86410135937,0,0,0.0467040127347,0.0336529226636,0.0130510900711,0.0553443775862,0.641716905516,1.55831955089,0.0401177533922,0.0214633499749,0.215976898865,0.168886452049,0.215590464784,0.215590464784,0.388385843098,0.443248906874,0.405661503224,0.126143221598,2.63383392336,1.52081418129,0.988841638555,2.4577753549,0.00383747752354,0,0.451036141809,19.3468837403,1.00931922691,0,-1.1385391473e-16,1.57039882386e-16,1.22124532709e-15,0,B6: SSM hybrid,ok,fast_equity_diffusion
49,2076,0.799849048082,6.26341588794,6.26341588794,6.26898901461,14.938232601,2.38499771821,0.0210668835102,0.196072456921,0.536628796009,0.218002264279,14.8610919391,0.564668192421,0.564668192421,0.33273524251,0,0.168842747321,0.33273524251,1.98724680104,0,0,0.0466181627847,0.0336187465038,0.0129994162809,0.0553486444802,0.641018382386,1.56001766482,0.0401359882785,0.0214017518499,0.21591206676,0.168842747321,0.215460910106,0.215460910106,0.381092056306,0.434171637844,0.397372680892,0.122745112062,2.7563567743,1.60533450999,1.03012164911,2.57026621645,0.00348573657427,0,0.435331807579,19.7194760185,1.00088979029,0,-8.91850907091e-17,-8.91850907091e-17,6.66133814775e-16,0,B6: SSM hybrid,ok,fast_equity_diffusion
