year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,scenario,code,calendar_year,gdp_2025_eur_trillion,gdp_nominal_eur_trillion,mvi_real_eur_resident_year,mvi_nominal_eur_resident_year
92,0.886899999981,27.1776691631,27.1776691631,36.5470836894,2.11977334736e+16,7.79968780484e+14,0.540702066904,0.154288000009,0.486198149768,0.2421725,71.7049233333,0,0,0,0,0.22734825,0,0,0.121230709357,3.29476811131,0.0366745050908,0.0366745050908,0,0.594625745963,0.0983511232659,10.167652049,0,0,0.3,0.22734825,0.264022755091,0.142792045734,0.563409186852,0.807114737774,0.726889651314,0.255271033171,8.22299455448,5.01292936302,2.28467152456,7.85490681987,0.0179214275966,0,1,75.77758906,1.34474680187,0,-5.89685685764e-17,-9.43497097223e-17,1.33226762955e-15,0,B3: fiscal-dominant monetary transfer,nominal_collapse,fast,B3,2119,511.664057484,3.99081990934e+17,137233.17841,1.07037594806e+20
93,0.886899999986,28.1288875838,28.1288875838,37.4240205229,3.3802471688e+16,1.20169955485e+15,0.540702121574,0.154288000007,0.486198149766,0.2421725,74.2146709617,0,0,0,0,0.22734825,0,0,0.121230705056,3.41008487421,0.0366744957227,0.0366744957227,0,0.594625948271,0.0983510771591,10.1676568156,0,0,0.3,0.22734825,0.264022745723,0.142792040667,0.563409190572,0.807114748401,0.726889660706,0.255271037534,8.51079924286,5.18838176972,2.31907294958,8.12982855339,0.0179214290701,0,1,76.8640055743,1.33044793938,-1.11022302463e-16,-5.17713620517e-17,8.87509063743e-17,1.33226762955e-15,0,B3: fiscal-dominant monetary transfer,nominal_collapse,fast,B3,2120,529.572299496,6.36386796567e+17,142036.334615,1.70685000079e+20
1,0.0144755795665,1.03366772825,1.03366772825,1.03366772825,1.05874297705,1.02425851956,0.0242585195577,0.573051721808,0.991613959224,0.220361889489,3.0477809737,0,0,0,0,0.233891433153,0,0,0.0802650884703,0.0829674316571,0.0611631794452,0.0493911507796,0.0117720286656,0.0871542233608,0.616100931155,1.62311067787,0.04,0.0207725877924,0.3,0.233891433153,0.295054612598,0.214789524128,0.369615925671,0.741659745326,0.668941058187,0.232076936227,0.483544694105,0.256404265,-0.713083593186,0.429209795401,0.00462052232857,0,1,0.207322022425,1,0,-9.17545776077e-17,-1.57293561613e-16,1.33226762955e-15,0,B4: fiscal dominance + burn,nominal_collapse,fast,B4,2028,19.4604850311,19.9325675878,3455.746798,3539.57809928
2,0.0332822997251,1.08272841398,1.08272841398,1.08272841398,1.12807180487,1.04187882234,0.0172029838652,0.564024496132,0.980718787711,0.220832057493,3.10401525864,0,0,0,0,0.233750382752,0,0,0.0819173324129,0.0886942234009,0.0644462994953,0.0524076865796,0.0120386129157,0.0906336198962,0.630644400943,1.58567966116,0.0412775558673,0.0208195235907,0.3,0.233750382752,0.298196682247,0.216279349834,0.37277151883,0.73868960909,0.661950063423,0.228687794134,0.504519530028,0.269156298201,-0.683286018712,0.462175938584,0.00434277047534,0,1,0.426892125613,1,0,-7.38133215342e-17,4.92088810228e-17,1.33226762955e-15,0,B4: fiscal dominance + burn,nominal_collapse,fast,B4,2029,20.3841326541,21.2377961242,3694.27825349,3848.99027615
3,0.0574191154862,1.14498179885,1.14498179885,1.14498179885,1.21179430557,1.05835246184,0.0158114736006,0.552438824567,0.966735767532,0.221435477887,3.17131393493,0,0,0,0,0.233569356634,0,0,0.084862348793,0.0971658447752,0.0678686124562,0.0559641668588,0.0119044455974,0.0953273809522,0.643037537593,1.55511916729,0.04,0.0202776112678,0.3,0.233569356634,0.30143796909,0.216575620297,0.37636442224,0.736023175349,0.657407712122,0.226422011763,0.533247711433,0.284709114522,-0.642261884079,0.493018663355,0.00416793808407,0,1,0.663831276875,1,0,-2.74854326231e-16,0,1.33226762955e-15,0,B4: fiscal dominance + burn,nominal_collapse,fast,B4,2030,21.5561544085,22.814009086,4047.13693374,4283.29733722
4,0.0879151555569,1.22477558426,1.22477558426,1.22477558426,1.32112174779,1.07866434044,0.019191979357,0.537800725333,0.949068700429,0.222197878889,3.25317763577,0,0,0,0,0.233340636333,0,0,0.0894304795398,0.109532267829,0.071947114904,0.059877775221,0.0120693396831,0.101518049351,0.649701709031,1.53916787673,0.04,0.0204626143349,0.3,0.233340636333,0.305287751237,0.215857271698,0.380445424459,0.73374737752,0.654223361292,0.22489344592,0.567632910689,0.304091755043,-0.583552437545,0.524236288415,0.00395330548676,0,1,0.925000134131,1,0,-3.57154657591e-16,-1.26054585032e-16,1.33226762955e-15,0,B4: fiscal dominance + burn,nominal_collapse,fast,B4,2031,23.0584028819,24.8722769361,4562.221299,4921.10542842
5,0.125692255092,1.32767337411,1.32767337411,1.32767337411,1.45545429991,1.09624424824,0.016297848311,0.519667717556,0.927183545803,0.223142306377,3.35424707644,0,0,0,0,0.233057308087,0,0,0.0886448738555,0.11769143877,0.0720595383952,0.0599381895262,0.012121348869,0.101635480137,0.649675055485,1.53923102258,0.04,0.0205538258988,0.3,0.233057308087,0.305116846482,0.216471972627,0.389493834153,0.732304274001,0.652287220628,0.223969506456,0.607447402604,0.330000226311,-0.515736440171,0.557992955104,0.0043700248465,0,1,1.21955022447,1,0,-1.81165405444e-16,-3.81400853567e-17,1.33226762955e-15,0,B4: fiscal dominance + burn,nominal_collapse,fast,B4,2032,24.9956220136,27.4013068635,4902.06584146,5373.86148318
6,0.171360273177,1.46056553279,1.46056553279,1.46056553279,1.62202111637,1.11054319711,0.0130435793772,0.497747068875,0.900726998065,0.224284006829,3.48057374178,0,0,0,0,0.232714797951,0,0,0.0948550753879,0.138542053722,0.0793076377345,0.0673134072159,0.0119942305187,0.115468443601,0.650272743261,1.53781626304,0.04,0.0205747292771,0.3,0.232714797951,0.312022435686,0.217167360298,0.396194662731,0.730453889202,0.650367460115,0.223118959654,0.664130667558,0.363334298923,-0.432050655614,0.603769949252,0.00416411959766,0,1,1.55956199045,1,0,-6.8446890945e-17,3.42234454725e-17,1.33226762955e-15,0,B4: fiscal dominance + burn,nominal_collapse,fast,B4,2033,27.4975341794,30.5371995202,5770.53247251,6408.42558102
7,0.224966092576,1.59997212018,1.59997212018,1.63157928826,1.81277242158,1.13300250593,0.0202237147367,0.472016275563,0.869671896936,0.225624152314,3.63273167062,0,0,0,0,0.232312754306,0,0,0.101118201342,0.16178630299,0.0844444258429,0.0723751644315,0.0120692614114,0.124388661493,0.654222123495,1.52853283936,0.04,0.0207430170827,0.3,0.232312754306,0.316757180149,0.215638978807,0.404822339731,0.729284696907,0.649391439559,0.222708333339,0.717117094987,0.396721110005,-0.350157046745,0.646315894625,0.0040349022629,0,1,1.95290873865,1.01975482427,0,-3.06222394883e-17,0,1.33226762955e-15,0,B4: fiscal dominance + burn,nominal_collapse,fast,B4,2034,30.1220911168,34.1284047191,6738.69839468,7634.96216785
8,0.285757724698,1.64149142006,1.64149142006,1.84817429761,1.99093700189,1.21288297798,0.0705033498513,0.442836292145,0.834453886942,0.227143943117,3.78762260413,0,0,0,0,0.231856817065,0,0,0.10376966978,0.170337022606,0.0774236528738,0.0646193654484,0.0128042874253,0.108480504256,0.660296587746,1.51447094921,0.040067114421,0.0214953450393,0.3,0.231856817065,0.309280469939,0.205510800158,0.417602069381,0.732633786732,0.653051991618,0.224276940228,0.722296689216,0.398363524317,-0.324063454067,0.667287371848,0.00437374423249,0,1,2.38055115003,1.12591164049,0,-3.06701147732e-16,2.78819225211e-17,1.33226762955e-15,0,B4: fiscal dominance + burn,nominal_collapse,fast,B4,2035,30.903759821,37.4826442426,7094.85166283,8605.22481317
